Date,Searching_Number,Country,Time_Frame,Keyword,Language,Regions
2023-03-06,89,United Kingdom,3-m,Machine learning,en,Europe
2023-03-07,81,United Kingdom,3-m,Machine learning,en,Europe
2023-03-08,86,United Kingdom,3-m,Machine learning,en,Europe
2023-03-09,82,United Kingdom,3-m,Machine learning,en,Europe
2023-03-10,68,United Kingdom,3-m,Machine learning,en,Europe
2023-03-11,53,United Kingdom,3-m,Machine learning,en,Europe
2023-03-12,65,United Kingdom,3-m,Machine learning,en,Europe
2023-03-13,74,United Kingdom,3-m,Machine learning,en,Europe
2023-03-14,74,United Kingdom,3-m,Machine learning,en,Europe
2023-03-15,73,United Kingdom,3-m,Machine learning,en,Europe
2023-03-16,54,United Kingdom,3-m,Machine learning,en,Europe
2023-03-17,69,United Kingdom,3-m,Machine learning,en,Europe
2023-03-18,43,United Kingdom,3-m,Machine learning,en,Europe
2023-03-19,57,United Kingdom,3-m,Machine learning,en,Europe
2023-03-20,79,United Kingdom,3-m,Machine learning,en,Europe
2023-03-21,74,United Kingdom,3-m,Machine learning,en,Europe
2023-03-22,74,United Kingdom,3-m,Machine learning,en,Europe
2023-03-23,67,United Kingdom,3-m,Machine learning,en,Europe
2023-03-24,82,United Kingdom,3-m,Machine learning,en,Europe
2023-03-25,64,United Kingdom,3-m,Machine learning,en,Europe
2023-03-26,34,United Kingdom,3-m,Machine learning,en,Europe
2023-03-27,69,United Kingdom,3-m,Machine learning,en,Europe
2023-03-28,87,United Kingdom,3-m,Machine learning,en,Europe
2023-03-29,76,United Kingdom,3-m,Machine learning,en,Europe
2023-03-30,80,United Kingdom,3-m,Machine learning,en,Europe
2023-03-31,62,United Kingdom,3-m,Machine learning,en,Europe
2023-04-01,44,United Kingdom,3-m,Machine learning,en,Europe
2023-04-02,50,United Kingdom,3-m,Machine learning,en,Europe
2023-04-03,66,United Kingdom,3-m,Machine learning,en,Europe
2023-04-04,60,United Kingdom,3-m,Machine learning,en,Europe
2023-04-05,70,United Kingdom,3-m,Machine learning,en,Europe
2023-04-06,68,United Kingdom,3-m,Machine learning,en,Europe
2023-04-07,51,United Kingdom,3-m,Machine learning,en,Europe
2023-04-08,58,United Kingdom,3-m,Machine learning,en,Europe
2023-04-09,38,United Kingdom,3-m,Machine learning,en,Europe
2023-04-10,47,United Kingdom,3-m,Machine learning,en,Europe
2023-04-11,80,United Kingdom,3-m,Machine learning,en,Europe
2023-04-12,76,United Kingdom,3-m,Machine learning,en,Europe
2023-04-13,53,United Kingdom,3-m,Machine learning,en,Europe
